ID_UNICO,area,w_px,valid_frac_interior,valid_frac_perimeter,w_px_seg0,w_px_seg1,w_px_seg2,w_px_seg3,w_px_seg4,w_px_seg5,w_len,w_len_seg0,w_len_seg1,w_len_seg2,w_len_seg3,w_len_seg4,w_len_seg5,w_px_segmean,w_len_segmean,w_ring
2947,0.49296,0.42208,1.0,1.0,0.70738,0.60961,0.50732,0.22901,0.32831,0.17518,0.42574,0.70256,0.60798,0.50655,0.2302,0.3339,0.17322,0.42613,0.42574,0.52877
2948,0.25395,0.36612,1.0,1.0,0.42494,0.07808,0.37226,0.70738,0.35241,0.2233,0.35992,0.4302,0.08034,0.37265,0.70256,0.35043,0.22336,0.35973,0.35992,0.2227
2949,0.39876,0.46955,1.0,1.0,0.75765,0.51506,0.2233,0.44133,0.44745,0.44769,0.47407,0.7567,0.52023,0.22336,0.43932,0.45755,0.44729,0.47208,0.47407,0.35603
2950,0.71582,0.6955,1.0,1.0,0.75318,0.37838,0.91951,0.75765,0.7988,0.52555,0.68784,0.7453,0.38177,0.91681,0.7567,0.80456,0.52194,0.68885,0.68784,0.74786
2951,0.79241,0.70357,1.0,1.0,0.80102,0.62763,0.52555,0.5102,0.91916,0.8568,0.70788,0.80342,0.62621,0.52194,0.51681,0.91795,0.86097,0.70673,0.70788,0.8529
2952,0.75673,0.71813,1.0,1.0,0.58056,0.54925,0.75426,0.80102,0.70571,0.88107,0.71007,0.57436,0.55214,0.74473,0.80342,0.7037,0.88205,0.71198,0.71007,0.76135
2953,0.73134,0.75441,1.0,1.0,0.69388,0.92515,0.88107,0.94388,0.51351,0.56204,0.7548,0.69288,0.92764,0.88205,0.94701,0.51624,0.56296,0.75326,0.7548,0.71311
2954,0.87781,0.89413,1.0,1.0,0.89003,1.0,0.8932,0.69388,0.93093,0.97087,0.89573,0.8849,1.0,0.89858,0.69288,0.9265,0.97151,0.89649,0.89573,0.87635
2955,0.8518,0.82547,1.0,1.0,0.94898,0.91317,0.97087,0.77608,0.43544,0.85437,0.817,0.94758,0.91681,0.97151,0.77436,0.43476,0.85698,0.81649,0.817,0.90674
2956,0.87915,0.90653,1.0,1.0,0.90281,0.86866,0.87105,0.94898,0.9039,0.93204,0.90522,0.90655,0.86952,0.87009,0.94758,0.90541,0.93219,0.90457,0.90522,0.87664
2957,0.9695,0.94623,1.0,1.0,1.0,0.82985,0.93204,0.90306,1.0,1.0,0.94406,1.0,0.82963,0.93219,0.90256,1.0,1.0,0.94416,0.94406,0.9981
2958,0.97716,0.98546,1.0,1.0,0.96675,0.98507,1.0,1.0,0.99104,0.97087,0.98651,0.96923,0.98405,1.0,1.0,0.99031,0.9755,0.98562,0.98651,0.97417
2959,0.9825,0.99471,1.0,1.0,1.0,1.0,0.97087,1.0,1.0,1.0,0.99592,1.0,1.0,0.9755,1.0,1.0,1.0,0.99515,0.99592,0.99183
2960,0.96139,0.92284,1.0,1.0,0.57801,1.0,0.99027,1.0,0.98204,1.0,0.92488,0.57664,1.0,0.9886,1.0,0.98405,1.0,0.92505,0.92488,0.99715
2961,0.92831,0.89383,1.0,1.0,1.0,0.9881,1.0,1.0,0.74925,0.62864,0.89592,1.0,0.99031,1.0,1.0,0.75157,0.63362,0.89433,0.89592,0.97113
2962,0.84821,0.88512,1.0,1.0,0.98724,0.97024,1.0,1.0,0.79762,0.56553,0.88528,0.98519,0.96752,1.0,1.0,0.79715,0.56182,0.88677,0.88528,0.82764
2963,0.81,0.63139,1.0,1.0,0.34359,0.9791,0.56553,0.54359,0.87761,0.57039,0.64672,0.34131,0.97892,0.56182,0.53675,0.87863,0.58291,0.64664,0.64672,0.95033
2964,0.68685,0.69471,1.0,1.0,0.77949,0.67262,0.85922,0.34359,0.73731,0.76513,0.69164,0.77778,0.66781,0.86154,0.34131,0.73447,0.76695,0.69289,0.69164,0.6491
2965,0.71674,0.62324,1.0,1.0,0.24297,0.75893,0.76513,1.0,0.86866,0.17476,0.63656,0.24501,0.76125,0.76695,1.0,0.87123,0.17493,0.63507,0.63656,0.77692
2966,0.35509,0.24516,1.0,1.0,0.24041,0.29167,0.14286,0.24297,0.50746,0.1068,0.25356,0.23419,0.2906,0.1396,0.24501,0.50655,0.10541,0.25536,0.25356,0.32507
2967,0.17348,0.18546,1.0,1.0,0.34872,0.1131,0.1068,0.18718,0.08929,0.24757,0.18129,0.34701,0.1151,0.10541,0.18519,0.08775,0.24729,0.18211,0.18129,0.13571
2968,0.3105,0.36224,1.0,1.0,0.60769,0.30861,0.11864,0.34872,0.36607,0.42961,0.36638,0.60798,0.31396,0.12308,0.34701,0.37151,0.43476,0.36322,0.36638,0.29687
2969,0.76752,0.75066,1.0,1.0,0.98972,0.87834,0.42961,0.59487,0.74702,0.89078,0.7567,0.99202,0.87578,0.43476,0.60114,0.7453,0.89117,0.75506,0.7567,0.74843
2970,0.55247,0.66637,1.0,1.0,0.25897,0.99407,0.97816,0.98972,0.8724,0.0,0.68243,0.25869,0.99373,0.97835,0.99202,0.87179,0.0,0.68222,0.68243,0.49278
2971,0.11474,0.11317,1.0,1.0,0.5527,0.0,0.0,0.0,0.0,0.10412,0.1094,0.55328,0.0,0.0,0.0,0.0,0.10313,0.10947,0.1094,0.07654
2972,0.14437,0.32394,1.0,1.0,0.01285,0.0,0.01211,0.5527,0.75668,0.62712,0.32726,0.0114,0.0,0.01481,0.55328,0.75499,0.62906,0.32691,0.32726,0.05632
2973,0.75045,0.69644,1.0,1.0,0.17738,0.48225,0.62712,1.0,1.0,0.89346,0.69734,0.17778,0.48205,0.62906,1.0,1.0,0.89516,0.6967,0.69734,0.72688
2974,0.2823,0.42612,1.0,1.0,0.51414,0.96154,0.33656,0.17738,0.4362,0.21981,0.44074,0.51168,0.96068,0.33618,0.17778,0.43989,0.21823,0.44094,0.44074,0.11206
2975,0.20013,0.32058,1.0,1.0,0.09254,0.04142,0.21981,0.8359,0.36202,0.35024,0.31576,0.0906,0.0359,0.21823,0.83476,0.36638,0.34872,0.31699,0.31576,0.25033
2976,0.44027,0.46171,1.0,1.0,0.61954,0.56509,0.99515,0.09254,0.42012,0.07767,0.46068,0.61937,0.56068,0.9943,0.0906,0.42165,0.07749,0.46168,0.46068,0.39041
2977,0.45234,0.49076,1.0,1.0,0.7892,0.09467,0.07767,0.05913,0.92285,1.0,0.49003,0.78917,0.09573,0.07749,0.05755,0.92023,1.0,0.49059,0.49003,0.43248
