ID_UNICO,area,w_px,valid_frac_interior,valid_frac_perimeter,w_len_seg0,w_px_seg0,w_len_seg1,w_px_seg1,w_len_seg2,w_px_seg2,w_len_seg3,w_px_seg3,w_len_seg4,w_px_seg4,w_len_seg5,w_px_seg5,w_len,w_px_segmean,w_len_segmean,w_ring
1,0.25806,0.36456,1.0,1.0,0.08262,0.0796,0.50484,0.50307,0.64046,0.63882,0.10712,0.11414,0.56467,0.56615,0.34416,0.34644,0.37398,0.3747,0.37398,0.20916
2,0.57914,0.57244,1.0,1.0,0.18006,0.18317,0.06325,0.06154,0.34416,0.34644,0.97778,0.97519,0.88091,0.88308,0.95214,0.94828,0.56638,0.56628,0.56638,0.61864
3,0.0911,0.16173,1.0,1.0,0.40627,0.39801,0.0735,0.07692,0.00399,0.00491,0.18006,0.18317,0.25584,0.25538,0.05527,0.05897,0.16249,0.16289,0.16249,0.08216
4,0.40261,0.42138,1.0,1.0,0.58689,0.58209,0.66553,0.66361,0.05527,0.05897,0.2,0.20596,0.35043,0.35077,0.69687,0.70197,0.42583,0.42723,0.42583,0.40188
5,0.67917,0.64046,1.0,1.0,0.61026,0.60945,0.85242,0.84709,0.67863,0.68305,0.58689,0.58209,0.33333,0.32923,0.77379,0.76658,0.63922,0.63625,0.63922,0.70108
6,0.80866,0.73068,1.0,1.0,0.56581,0.56468,0.74302,0.74618,0.77379,0.76658,0.91339,0.91315,0.79886,0.79755,0.61311,0.61179,0.73466,0.73332,0.73466,0.74677
7,0.96626,0.91166,1.0,1.0,0.98746,0.98507,0.98746,0.98773,0.97265,0.97052,0.56581,0.56468,1.0,1.0,0.98974,0.99017,0.91719,0.91636,0.91719,0.9887
8,0.98523,0.95278,1.0,1.0,0.99772,0.99752,0.99601,0.99387,0.98974,0.99017,0.79601,0.79602,0.93789,0.93884,1.0,1.0,0.9529,0.95274,0.9529,0.99734
9,0.98805,0.98411,1.0,1.0,1.0,1.0,0.94359,0.94495,0.97151,0.97297,0.99772,0.99752,0.9812,0.9816,1.0,1.0,0.98234,0.98284,0.98234,0.9906
10,0.98028,0.95765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98519,0.98263,0.73789,0.737,0.99145,0.99265,0.95242,0.95205,0.95242,0.9962
